#age,value
0,2.4914
1,4.30613
2,4.30613
3,4.30613
4,4.30613
5,3.34845
6,3.34845
7,3.34845
8,3.34845
9,3.34845
10,2.83824
11,2.83824
12,2.83824
13,2.83824
14,2.83824
15,2.51152
16,2.51152
17,2.51152
18,2.51152
19,2.51152
20,2.47996
21,2.47996
22,2.47996
23,2.47996
24,2.47996
25,2.45176
26,2.45176
27,2.45176
28,2.45176
29,2.45176
30,2.38134
31,2.38134
32,2.38134
33,2.38134
34,2.38134
35,2.21784
36,2.21784
37,2.21784
38,2.21784
39,2.21784
40,1.94409
41,1.94409
42,1.94409
43,1.94409
44,1.94409
45,1.58125
46,1.58125
47,1.58125
48,1.58125
49,1.58125
50,1.32476
51,1.32476
52,1.32476
53,1.32476
54,1.32476
55,1.15017
56,1.15017
57,1.15017
58,1.15017
59,1.15017
60,0.98232
61,0.98232
62,0.98232
63,0.98232
64,0.98232
65,0.81446
66,0.81446
67,0.81446
68,0.81446
69,0.81446
70,0.67993
71,0.67993
72,0.67993
73,0.67993
74,0.67993
75,0.47414
76,0.47414
77,0.47414
78,0.47414
79,0.47414
80,0.2735
81,0.2735
82,0.2735
83,0.2735
84,0.2735
85,0.2735
86,0.2735
87,0.2735
88,0.2735
89,0.2735
90,0.2735
91,0.2735
92,0.2735
93,0.2735
94,0.2735
95,0.2735
96,0.2735
97,0.2735
98,0.2735
99,0.2735
100,0.2735
