age,nbr_femme
0,338936
1,350629
2,353986
3,363828
4,373134
5,382943
6,396929
7,398058
8,405017
9,410316
10,420428
11,413661
12,416483
13,412585
14,419967
15,410987
16,408423
17,404574
18,400573
19,400085
20,400978
21,376606
22,373408
23,363229
24,369197
25,367043
26,361493
27,363901
28,384079
29,393427
30,405278
31,412731
32,419357
33,421858
34,430196
35,430091
36,425655
37,421261
38,443929
39,446649
40,451195
41,425855
42,414121
43,414175
44,404227
45,415014
46,435628
47,459764
48,466971
49,464223
50,455100
51,449203
52,446218
53,443386
54,454568
55,455618
56,461181
57,455743
58,441008
59,441460
60,440217
61,437560
62,429419
63,425959
64,424039
65,420762
66,416459
67,408098
68,412799
69,400476
70,412366
71,404550
72,401141
73,391035
74,368656
75,278414
76,270291
77,261401
78,240655
79,212857
80,219696
81,228181
82,219560
83,212217
84,206868
85,195932
86,190351
87,173354
88,167452
89,149591
90,136535
91,111783
92,97331
93,80030
94,66787
95,53104
96,40894
97,31021
98,22952
99,16426
100,11452
101,4489
102,2602
103,1622
104,926
105,2065
