age,total
0,691754
1,714585
2,723589
3,741105
4,761638
5,782397
6,806296
7,813727
8,830361
9,836626
10,857412
11,846079
12,853732
13,844444
14,859144
15,843717
16,839171
17,830450
18,823756
19,824021
20,825068
21,771160
22,758647
23,732962
24,739197
25,732521
26,715066
27,719576
28,756910
29,774944
30,796258
31,802788
32,815670
33,818399
34,832977
35,832461
36,825974
37,817778
38,865383
39,871959
40,881060
41,833394
42,813784
43,816353
44,795349
45,820771
46,861730
47,906113
48,924323
49,919896
50,899550
51,886276
52,875462
53,871272
54,891426
55,892392
56,899362
57,886362
58,856619
59,855441
60,848042
61,841009
62,820136
63,812492
64,804014
65,793523
66,786152
67,768512
68,775095
69,751752
70,773191
71,754577
72,747317
73,725950
74,679274
75,507127
76,490957
77,471618
78,430510
79,376688
80,383970
81,392579
82,373969
83,355308
84,341153
85,314805
86,301041
87,269011
88,253855
89,222346
90,198098
91,158712
92,134827
93,108837
94,88250
95,69403
96,52436
97,38806
98,27854
99,19911
100,13595
101,5268
102,3056
103,1892
104,1065
105,2621
